bus_category,route_name,route_link,bus_name,bus_type,departing_time,duration,reaching_time,star_rating,price,seats_available
Government,Chennai to Coimbatore,https://www.redbus.in/bus-tickets/chennai-to-coimbatore?date=20-11-2024,KSRTC (Kerala) - 2312,Seater + AC,05:30,08:25,13:55:00,4.8,996,23
Government,Chennai to Coimbatore,https://www.redbus.in/bus-tickets/chennai-to-coimbatore?date=20-11-2024,KSRTC (Kerala) - 2312,Seater + AC,05:45,08:25,14:10:00,4.8,996,15
Private,Bangalore to Chennai,https://www.redbus.in/bus-tickets/bangalore-to-chennai?date=20-11-2024,Jabbar Travels,Sleeper + AC,06:00,06:20,12:20:00,4.3,600,32
Private,Bangalore to Chennai,https://www.redbus.in/bus-tickets/bangalore-to-chennai?date=20-11-2024,Jabbar Travels,Sleeper + AC,06:15,06:20,12:35:00,4.3,600,8
Private,Bangalore to Chennai,https://www.redbus.in/bus-tickets/bangalore-to-chennai?date=20-11-2024,Jabbar Travels,Sleeper + AC,06:30,06:15,12:45:00,4.6,452,19
Private,Bangalore to Chennai,https://www.redbus.in/bus-tickets/bangalore-to-chennai?date=20-11-2024,Jabbar Travels,Sleeper + AC,06:45,06:15,13:00:00,4.6,452,27
Private,Bangalore to Chennai,https://www.redbus.in/bus-tickets/bangalore-to-chennai?date=20-11-2024,IntrCity SmartBus,Sleeper + Seater + AC,07:00,07:30,14:30:00,4.4,419,12
Private,Bangalore to Chennai,https://www.redbus.in/bus-tickets/bangalore-to-chennai?date=20-11-2024,IntrCity SmartBus,Sleeper + Seater + AC,07:15,07:30,14:45:00,4.4,419,34
Private,Bangalore to Chennai,https://www.redbus.in/bus-tickets/bangalore-to-chennai?date=20-11-2024,AdStreamline tours and travels,Sleeper + AC,07:30,06:45,14:15:00,4.5,720,5
Private,Bangalore to Chennai,https://www.redbus.in/bus-tickets/bangalore-to-chennai?date=20-11-2024,AdStreamline tours and travels,Sleeper + AC,07:45,06:45,14:30:00,4.5,720,41
Private,Bangalore to Chennai,https://www.redbus.in/bus-tickets/bangalore-to-chennai?date=20-11-2024,KMRL Kalaimakal,Sleeper + Seater + AC,08:00,06:45,14:45:00,4.8,740,16
Private,Bangalore to Chennai,https://www.redbus.in/bus-tickets/bangalore-to-chennai?date=20-11-2024,KMRL Kalaimakal,Sleeper + Seater + AC,08:15,06:45,15:00:00,4.8,740,29
Private,Bangalore to Chennai,https://www.redbus.in/bus-tickets/bangalore-to-chennai?date=20-11-2024,GreenLine Travels And Holidays,Sleeper + AC,08:30,05:45,14:15:00,4.1,900,7
